"Step","stateleaky - ppl","stateleaky - ppl__MIN","stateleaky - ppl__MAX","leaky - ppl","leaky - ppl__MIN","leaky - ppl__MAX"
"338","","","","385.31253393244424","385.31253393244424","385.31253393244424"
"339","","","","379.72762319461367","379.72762319461367","379.72762319461367"
"343","","","","377.686073983638","377.686073983638","377.686073983638"
"346","","","","361.5703562721938","361.5703562721938","361.5703562721938"
"347","","","","370.846172708542","370.846172708542","370.846172708542"
"348","","","","347.78224488236106","347.78224488236106","347.78224488236106"
"350","","","","364.5673837559416","364.5673837559416","364.5673837559416"
"352","","","","351.3937254231563","351.3937254231563","351.3937254231563"
"354","","","","366.9622435221192","366.9622435221192","366.9622435221192"
"355","","","","368.61223813189133","368.61223813189133","368.61223813189133"
"359","","","","369.1587388776278","369.1587388776278","369.1587388776278"
"360","","","","365.4419079065146","365.4419079065146","365.4419079065146"
"361","","","","358.41829987809024","358.41829987809024","358.41829987809024"
"362","","","","369.28260158828846","369.28260158828846","369.28260158828846"
"364","","","","357.21370953329017","357.21370953329017","357.21370953329017"
"366","","","","366.8554545418008","366.8554545418008","366.8554545418008"
"367","","","","383.8814925585463","383.8814925585463","383.8814925585463"
"369","","","","372.65614633724505","372.65614633724505","372.65614633724505"
"370","","","","384.19295055245817","384.19295055245817","384.19295055245817"
"371","","","","358.74885626749807","358.74885626749807","358.74885626749807"
"372","","","","365.27871262100825","365.27871262100825","365.27871262100825"
"375","","","","353.2300918683328","353.2300918683328","353.2300918683328"
"376","","","","360.85499851492096","360.85499851492096","360.85499851492096"
"377","","","","346.6797705302333","346.6797705302333","346.6797705302333"
"378","","","","351.63803887962814","351.63803887962814","351.63803887962814"
"381","","","","362.98203647110046","362.98203647110046","362.98203647110046"
"382","","","","381.8398927480324","381.8398927480324","381.8398927480324"
"384","","","","354.72947704729387","354.72947704729387","354.72947704729387"
"387","","","","341.14736671803456","341.14736671803456","341.14736671803456"
"388","314.98433822467695","314.98433822467695","314.98433822467695","365.806979764657","365.806979764657","365.806979764657"
"389","","","","373.226976328031","373.226976328031","373.226976328031"
"391","","","","339.9368551939194","339.9368551939194","339.9368551939194"
"392","","","","385.6191217942352","385.6191217942352","385.6191217942352"
"394","","","","372.30746930050594","372.30746930050594","372.30746930050594"
"396","","","","369.8920851425317","369.8920851425317","369.8920851425317"
"397","","","","341.7568559844101","341.7568559844101","341.7568559844101"
"399","","","","363.54596507819934","363.54596507819934","363.54596507819934"
