"Step","multi-beta-learn - loss","multi-beta-learn - loss__MIN","multi-beta-learn - loss__MAX","single-beta-no-learn-beta - loss","single-beta-no-learn-beta - loss__MIN","single-beta-no-learn-beta - loss__MAX","single-beta-learn-beta - loss","single-beta-learn-beta - loss__MIN","single-beta-learn-beta - loss__MAX"
"2049","5.308030876074135","5.308030876074135","5.308030876074135","5.4185935994046135","5.4185935994046135","5.4185935994046135","5.374469426673229","5.374469426673229","5.374469426673229"
"2068","5.330418473201096","5.330418473201096","5.330418473201096","5.425395701191213","5.425395701191213","5.425395701191213","5.294703008977539","5.294703008977539","5.294703008977539"
"2098","5.279325746652338","5.279325746652338","5.279325746652338","","","","5.306025407445713","5.306025407445713","5.306025407445713"
"2105","5.321713785486897","5.321713785486897","5.321713785486897","5.409565977573982","5.409565977573982","5.409565977573982","5.3607679898544465","5.3607679898544465","5.3607679898544465"
"2143","5.326061551276765","5.326061551276765","5.326061551276765","","","","5.285663223454425","5.285663223454425","5.285663223454425"
"2152","5.37283755025757","5.37283755025757","5.37283755025757","5.430600512448341","5.430600512448341","5.430600512448341","5.310657598695377","5.310657598695377","5.310657598695377"
"2164","5.289636124320652","5.289636124320652","5.289636124320652","5.356025965073529","5.356025965073529","5.356025965073529","5.314045685823456","5.314045685823456","5.314045685823456"
"2171","5.292089155008816","5.292089155008816","5.292089155008816","5.323135736420399","5.323135736420399","5.323135736420399","5.321088115061362","5.321088115061362","5.321088115061362"
"2184","5.29607001545415","5.29607001545415","5.29607001545415","5.4279335614071","5.4279335614071","5.4279335614071","5.2973236793872065","5.2973236793872065","5.2973236793872065"
"2187","5.345323390897091","5.345323390897091","5.345323390897091","5.327409759281188","5.327409759281188","5.327409759281188","5.322983073561981","5.322983073561981","5.322983073561981"
"2189","5.309822693397389","5.309822693397389","5.309822693397389","5.350536682662297","5.350536682662297","5.350536682662297","5.3835785225323045","5.3835785225323045","5.3835785225323045"
"2201","5.3505095347678235","5.3505095347678235","5.3505095347678235","5.335002489512777","5.335002489512777","5.335002489512777","5.3120457497408085","5.3120457497408085","5.3120457497408085"
"2203","5.280799995162539","5.280799995162539","5.280799995162539","","","","5.301278257005638","5.301278257005638","5.301278257005638"
"2263","5.380364654744115","5.380364654744115","5.380364654744115","5.339540317214272","5.339540317214272","5.339540317214272","5.261516141412929","5.261516141412929","5.261516141412929"
"2272","5.372335456107972","5.372335456107972","5.372335456107972","","","","5.355226599651834","5.355226599651834","5.355226599651834"
"2283","5.241955659865862","5.241955659865862","5.241955659865862","5.277459938316766","5.277459938316766","5.277459938316766","5.329544329092095","5.329544329092095","5.329544329092095"
"2295","5.308462071182705","5.308462071182705","5.308462071182705","5.432653298137176","5.432653298137176","5.432653298137176","5.325034599384172","5.325034599384172","5.325034599384172"
"2302","5.317212049779957","5.317212049779957","5.317212049779957","5.365488467584562","5.365488467584562","5.365488467584562","5.338929387391573","5.338929387391573","5.338929387391573"
"2328","5.297544072374535","5.297544072374535","5.297544072374535","5.352164628580972","5.352164628580972","5.352164628580972","5.283889727089261","5.283889727089261","5.283889727089261"
"2352","5.272922102101927","5.272922102101927","5.272922102101927","5.38523600985946","5.38523600985946","5.38523600985946","5.311204024187223","5.311204024187223","5.311204024187223"
"2378","5.241462936080249","5.241462936080249","5.241462936080249","5.315155149681798","5.315155149681798","5.315155149681798","5.301679979299142","5.301679979299142","5.301679979299142"
"2419","5.240041078033694","5.240041078033694","5.240041078033694","5.3210786193094135","5.3210786193094135","5.3210786193094135","5.216211213840275","5.216211213840275","5.216211213840275"
"2422","5.33878702462449","5.33878702462449","5.33878702462449","5.302447161336583","5.302447161336583","5.302447161336583","5.331135856331169","5.331135856331169","5.331135856331169"
"2428","5.255464770695287","5.255464770695287","5.255464770695287","5.313568513911141","5.313568513911141","5.313568513911141","5.334839588430114","5.334839588430114","5.334839588430114"
"2459","5.238670018554808","5.238670018554808","5.238670018554808","5.394544758089416","5.394544758089416","5.394544758089416","5.254013697227717","5.254013697227717","5.254013697227717"
"2533","5.376568676797097","5.376568676797097","5.376568676797097","5.331791259585181","5.331791259585181","5.331791259585181","5.387867175848248","5.387867175848248","5.387867175848248"
"2542","5.388180082241941","5.388180082241941","5.388180082241941","5.287771143691154","5.287771143691154","5.287771143691154","5.278726702850068","5.278726702850068","5.278726702850068"
"2549","5.3012476066686","5.3012476066686","5.3012476066686","5.382707523752007","5.382707523752007","5.382707523752007","5.295737261422844","5.295737261422844","5.295737261422844"
"2563","5.36651373685082","5.36651373685082","5.36651373685082","5.346069215433737","5.346069215433737","5.346069215433737","5.338293554298431","5.338293554298431","5.338293554298431"
"2573","5.331385825603969","5.331385825603969","5.331385825603969","","","","","",""
"2590","5.30107827819575","5.30107827819575","5.30107827819575","5.304852264855295","5.304852264855295","5.304852264855295","5.325103116573425","5.325103116573425","5.325103116573425"
"2624","5.369715623359732","5.369715623359732","5.369715623359732","5.309639110006489","5.309639110006489","5.309639110006489","5.329440480742492","5.329440480742492","5.329440480742492"
"2662","5.312898487258069","5.312898487258069","5.312898487258069","5.324778168776939","5.324778168776939","5.324778168776939","5.202722428016382","5.202722428016382","5.202722428016382"
"2672","5.27043556897302","5.27043556897302","5.27043556897302","5.289086657390229","5.289086657390229","5.289086657390229","5.3083114285273805","5.3083114285273805","5.3083114285273805"
