"Step","gen2-spiking - ppl","gen2-spiking - ppl__MIN","gen2-spiking - ppl__MAX","stateleaky-tuned - ppl","stateleaky-tuned - ppl__MIN","stateleaky-tuned - ppl__MAX"
"11594","","","","59.27435992149383","59.27435992149383","59.27435992149383"
"11669","14.55954494132375","14.55954494132375","14.55954494132375","56.89585034712672","56.89585034712672","56.89585034712672"
"12048","13.672627797096949","13.672627797096949","13.672627797096949","48.73076876686188","48.73076876686188","48.73076876686188"
"12242","13.945026982161027","13.945026982161027","13.945026982161027","49.40349918163483","49.40349918163483","49.40349918163483"
"12410","15.253174062882646","15.253174062882646","15.253174062882646","45.1270644759289","45.1270644759289","45.1270644759289"
"12525","13.640099485760878","13.640099485760878","13.640099485760878","40.62749122555479","40.62749122555479","40.62749122555479"
"12532","14.279043925687414","14.279043925687414","14.279043925687414","44.3440848917095","44.3440848917095","44.3440848917095"
"12642","13.173799299982758","13.173799299982758","13.173799299982758","43.27338837305996","43.27338837305996","43.27338837305996"
"12929","13.207103008594856","13.207103008594856","13.207103008594856","37.48328133646095","37.48328133646095","37.48328133646095"
"12965","","","","41.55947473581582","41.55947473581582","41.55947473581582"
"12971","13.444215602003174","13.444215602003174","13.444215602003174","40.29983247244682","40.29983247244682","40.29983247244682"
"13001","14.208261877714495","14.208261877714495","14.208261877714495","37.17690617763891","37.17690617763891","37.17690617763891"
"13174","13.749733624584376","13.749733624584376","13.749733624584376","36.911924206918414","36.911924206918414","36.911924206918414"
"13278","13.831480529590593","13.831480529590593","13.831480529590593","35.69784637056372","35.69784637056372","35.69784637056372"
"13299","14.230006666605693","14.230006666605693","14.230006666605693","35.46633423406336","35.46633423406336","35.46633423406336"
"13321","15.085975604842378","15.085975604842378","15.085975604842378","36.79529144929125","36.79529144929125","36.79529144929125"
"13340","14.620284740126577","14.620284740126577","14.620284740126577","35.46861452987021","35.46861452987021","35.46861452987021"
"13500","14.076023776557042","14.076023776557042","14.076023776557042","32.303285474500456","32.303285474500456","32.303285474500456"
"13514","","","","32.61048690386281","32.61048690386281","32.61048690386281"
"13563","13.631802363974591","13.631802363974591","13.631802363974591","33.27559812755452","33.27559812755452","33.27559812755452"
"13586","","","","30.937241374247673","30.937241374247673","30.937241374247673"
"13603","13.600548651600585","13.600548651600585","13.600548651600585","32.041552255692906","32.041552255692906","32.041552255692906"
"13821","14.213641430638665","14.213641430638665","14.213641430638665","36.159051541061764","36.159051541061764","36.159051541061764"
"13900","14.33925872619227","14.33925872619227","14.33925872619227","32.38085498035433","32.38085498035433","32.38085498035433"
"13948","14.395606159958017","14.395606159958017","14.395606159958017","29.717323632375777","29.717323632375777","29.717323632375777"
"13957","14.133887952537272","14.133887952537272","14.133887952537272","31.323092288866196","31.323092288866196","31.323092288866196"
"14018","13.352192798762491","13.352192798762491","13.352192798762491","33.67180427291521","33.67180427291521","33.67180427291521"
"14079","14.026439314599592","14.026439314599592","14.026439314599592","30.501510651497334","30.501510651497334","30.501510651497334"
"14090","","","","32.48283412579239","32.48283412579239","32.48283412579239"
"14177","13.116184290698342","13.116184290698342","13.116184290698342","29.092501712040885","29.092501712040885","29.092501712040885"
"14207","13.711844848371753","13.711844848371753","13.711844848371753","28.151457017662484","28.151457017662484","28.151457017662484"
"14246","12.738268487171114","12.738268487171114","12.738268487171114","32.12805642834713","32.12805642834713","32.12805642834713"
"14418","13.409567555137803","13.409567555137803","13.409567555137803","29.52396821515814","29.52396821515814","29.52396821515814"
"14439","13.203693454801508","13.203693454801508","13.203693454801508","28.889375734773733","28.889375734773733","28.889375734773733"
"14461","14.359820095536792","14.359820095536792","14.359820095536792","28.91154456658328","28.91154456658328","28.91154456658328"
"14646","12.917153663505921","12.917153663505921","12.917153663505921","29.000704817254626","29.000704817254626","29.000704817254626"
"14667","14.29337267097576","14.29337267097576","14.29337267097576","29.195132720018126","29.195132720018126","29.195132720018126"
"14708","15.14329613620209","15.14329613620209","15.14329613620209","26.770985067476484","26.770985067476484","26.770985067476484"
"14723","13.832478377564573","13.832478377564573","13.832478377564573","28.507011084599874","28.507011084599874","28.507011084599874"
"14733","","","","27.705502942336576","27.705502942336576","27.705502942336576"
"14825","14.91215433446451","14.91215433446451","14.91215433446451","26.856267345203786","26.856267345203786","26.856267345203786"
"14869","12.241324542061912","12.241324542061912","12.241324542061912","30.15020583014498","30.15020583014498","30.15020583014498"
"14931","","","","30.27223365266646","30.27223365266646","30.27223365266646"
"15003","13.761297653128647","13.761297653128647","13.761297653128647","30.05252216792125","30.05252216792125","30.05252216792125"
"15131","","","","24.19362361596292","24.19362361596292","24.19362361596292"
"15139","13.669789894822499","13.669789894822499","13.669789894822499","28.54951335135377","28.54951335135377","28.54951335135377"
"15385","13.414290017999262","13.414290017999262","13.414290017999262","24.743018325982472","24.743018325982472","24.743018325982472"
"15475","13.907704921980349","13.907704921980349","13.907704921980349","24.530062397567697","24.530062397567697","24.530062397567697"
"15619","13.4705461936989","13.4705461936989","13.4705461936989","22.423786636542076","22.423786636542076","22.423786636542076"
